ï»¿EstaciÃ³n destino,Alcaldia destino,ZonificaciÃ³n destino,zonificacion,% Llegada a la estaciÃ³n,% Salida a la estaciÃ³n,% Asignado en fecha,% Asignado con retraso,Total,Intentos de entrega,Entregados,No intentados,% Robo o extravÃ­o,letras,numeros
SPGR2,Acapulco de Juarez,ACA8,ACA_8,0,0,0.99137931,0,116,2,113,1,0,ACA,8
SPGR1,Acapulco de Juarez,ACA14,ACA_14,0,0,0.980392157,0,102,0,100,2,0,ACA,14
MX1,Nezahualcoyotl,NEZA9,NEZA_9,0,0,0.98989899,0,99,3,95,1,0,NEZA,9
MX4,Iztapalapa,IZTA13,IZTA_13,0,0,0.977011494,0,87,1,84,2,0,IZTA,13
SPGR1,Acapulco de Juarez,ACA13,ACA_13,0,0,1,0,84,0,84,0,0,ACA,13
SPGR1,Acapulco de Juarez,ACA15,ACA_15,0,0,1,0,78,0,78,0,0,ACA,15
MX4,Iztapalapa,IZTA3,IZTA_3,0,0,0.961538462,0,78,1,74,3,0,IZTA,3
MX1,Nezahualcoyotl,CHT8,CHT_8,0,0,0.434210526,0,76,0,33,43,0,CHT,8
MX1,Nezahualcoyotl,CHT7,CHT_7,0,0,0.373333333,0,75,0,28,47,0,CHT,7
SPMX9,Tlalpan,TLP7,TLP_7,0,0,0.853333333,0,75,4,56,15,0,TLP,7
MX4,Iztapalapa,IZTA7,IZTA_7,0,0,1,0,72,1,71,0,0,IZTA,7
MX4,Benito Juarez,BJ5,BJ_5,0,0,0.957142857,0,70,1,66,3,0,BJ,5
SPMX10,Tlahuac,TLAH7,TLAH_7,0,0,0.971428571,0,70,1,67,2,0,TLAH,7
MX4,Benito Juarez,BJ7,BJ_7,0,0,0.848484848,0,66,4,51,11,0,BJ,7
MX1,Miguel Hidalgo,MH2,MH_2,0,0,0.676923077,0,65,2,36,27,0,MH,2
MX4,Iztapalapa,IZTA5,IZTA_5,0,0,1,0,65,1,64,0,0,IZTA,5
MX4,Coyoacan,COY3,COY_3,0,0,1,0,63,1,62,0,0,COY,3
MX1,Azcapotzalco,AZC1,AZC_1,0,0,0.967213115,0,61,1,58,2,0,AZC,1
SPGR2,Acapulco de Juarez,ACA12,ACA_12,0,0,0.966666667,0,60,0,58,2,0,ACA,12
MX1,Miguel Hidalgo,MH7,MH_7,0,0,0.666666667,0,60,0,39,21,0,MH,7
